indice,Date,Time,QLF5,PLF5
251,9/14/2023,14 09 2023 04:10:00,0.00,10.80
252,9/14/2023,14 09 2023 04:11:00,0.00,11.50
253,9/14/2023,14 09 2023 04:12:00,0.00,12.00
254,9/14/2023,14 09 2023 04:13:00,0.00,12.50
255,9/14/2023,14 09 2023 04:14:00,0.00,12.70
256,9/14/2023,14 09 2023 04:15:00,0.00,12.70
257,9/14/2023,14 09 2023 04:16:00,0.00,12.60
258,9/14/2023,14 09 2023 04:17:00,0.00,13.50
259,9/14/2023,14 09 2023 04:18:00,0.00,14.10
260,9/14/2023,14 09 2023 04:19:00,198.00,14.00
261,9/14/2023,14 09 2023 04:20:00,198.00,14.00
262,9/14/2023,14 09 2023 04:21:00,198.00,13.90
263,9/14/2023,14 09 2023 04:22:00,198.00,13.80
264,9/14/2023,14 09 2023 04:23:00,198.00,13.70
265,9/14/2023,14 09 2023 04:24:00,198.00,13.60
266,9/14/2023,14 09 2023 04:25:00,198.00,13.50
267,9/14/2023,14 09 2023 04:26:00,198.00,13.40
268,9/14/2023,14 09 2023 04:27:00,198.00,12.20
269,9/14/2023,14 09 2023 04:28:00,198.00,12.10
270,9/14/2023,14 09 2023 04:29:00,198.00,12.10
271,9/14/2023,14 09 2023 04:30:00,198.00,12.00
272,9/14/2023,14 09 2023 04:31:00,198.00,11.90
273,9/14/2023,14 09 2023 04:32:00,198.00,11.80
274,9/14/2023,14 09 2023 04:33:00,198.00,11.80
275,9/14/2023,14 09 2023 04:34:00,198.00,12.10
276,9/14/2023,14 09 2023 04:35:00,198.00,12.10
277,9/14/2023,14 09 2023 04:36:00,198.00,12.00
278,9/14/2023,14 09 2023 04:37:00,199.00,12.00
279,9/14/2023,14 09 2023 04:38:00,198.00,11.90
280,9/14/2023,14 09 2023 04:39:00,198.00,11.60
281,9/14/2023,14 09 2023 04:40:00,198.00,11.40
282,9/14/2023,14 09 2023 04:41:00,198.00,11.20
283,9/14/2023,14 09 2023 04:42:00,198.00,11.20
284,9/14/2023,14 09 2023 04:43:00,198.00,11.50
285,9/14/2023,14 09 2023 04:44:00,198.00,11.60
286,9/14/2023,14 09 2023 04:45:00,198.00,11.60
287,9/14/2023,14 09 2023 04:46:00,198.00,11.30
288,9/14/2023,14 09 2023 04:47:00,198.00,11.30
289,9/14/2023,14 09 2023 04:48:00,198.00,11.30
290,9/14/2023,14 09 2023 04:49:00,199.00,11.30
