TIEMPO;FT748;FT903;FT901;TOTAL ENTRADA;REPOSICION;FT764;FT904;TOTAL RETORNO;TORRE_PILETA;TEMP_RETORNO
12 02 2023 07:52:00;4.550.000;2.990.000;3.890.000;11.430;272;7.030.000;4.660.000;11.690;36,5;41,0
12 02 2023 07:53:00;4.600.000;2.970.000;3.750.000;11.320;270;7.040.000;4.510.000;11.550;36,5;41,0
12 02 2023 07:54:00;4.570.000;2.920.000;3.760.000;11.250;239;6.950.000;4.600.000;11.550;36,4;40,9
12 02 2023 07:55:00;4.650.000;2.960.000;3.770.000;11.380;246;6.850.000;4.470.000;11.320;36,1;40,9
12 02 2023 07:56:00;4.580.000;2.960.000;3.880.000;11.420;280;6.950.000;4.650.000;11.600;36,1;40,6
12 02 2023 07:57:00;4.640.000;2.970.000;3.780.000;11.390;296;7.160.000;4.610.000;11.770;35,8;40,3
12 02 2023 07:58:00;4.610.000;2.820.000;3.880.000;11.310;323;7.050.000;4.720.000;11.770;34,9;40,0
12 02 2023 07:59:00;4.520.000;2.890.000;3.850.000;11.260;273;6.970.000;4.560.000;11.530;35,3;39,7
12 02 2023 08:00:00;4.600.000;2.920.000;3.890.000;11.410;270;7.160.000;4.510.000;11.670;35,8;39,6
12 02 2023 08:01:00;4.560.000;2.970.000;3.820.000;11.350;248;7.100.000;4.570.000;11.670;35,1;39,5
12 02 2023 08:02:00;4.600.000;2.980.000;3.790.000;11.370;270;6.940.000;4.690.000;11.630;34,8;39,4
12 02 2023 08:03:00;4.590.000;3.020.000;3.930.000;11.540;216;7.080.000;4.680.000;11.760;34,9;39,4
12 02 2023 08:04:00;4.550.000;2.940.000;3.850.000;11.340;205;7.040.000;4.640.000;11.680;34,9;39,2
12 02 2023 08:05:00;4.620.000;2.980.000;3.790.000;11.390;235;6.930.000;4.820.000;11.750;34,3;39,0
12 02 2023 08:06:00;4.630.000;2.990.000;3.880.000;11.500;265;7.140.000;4.630.000;11.770;34,8;38,9
12 02 2023 08:07:00;4.560.000;2.920.000;3.900.000;11.380;321;7.090.000;4.620.000;11.710;34,4;38,8
12 02 2023 08:08:00;4.600.000;2.970.000;3.820.000;11.390;239;6.910.000;4.580.000;11.490;34,1;38,9
12 02 2023 08:09:00;4.600.000;3.000.000;3.830.000;11.430;262;7.070.000;4.640.000;11.710;34,4;38,9
12 02 2023 08:10:00;4.520.000;3.020.000;3.800.000;11.340;302;7.050.000;4.600.000;11.650;34,1;39,0
12 02 2023 08:11:00;4.510.000;2.860.000;3.770.000;11.140;270;7.010.000;4.620.000;11.630;34,0;39,0
12 02 2023 08:12:00;4.590.000;3.000.000;3.790.000;11.380;268;6.990.000;4.630.000;11.620;34,1;38,8
12 02 2023 08:13:00;4.650.000;2.840.000;3.900.000;11.390;240;7.020.000;4.510.000;11.530;34,3;38,6
12 02 2023 08:14:00;4.500.000;2.840.000;3.740.000;11.080;272;7.030.000;4.610.000;11.640;34,1;38,6
12 02 2023 08:15:00;4.550.000;2.960.000;3.880.000;11.390;266;7.040.000;4.650.000;11.690;34,0;38,5
12 02 2023 08:16:00;4.540.000;2.990.000;3.850.000;11.380;226;7.050.000;4.560.000;11.610;34,2;38,6
12 02 2023 08:17:00;4.520.000;2.980.000;3.900.000;11.400;253;7.000.000;4.640.000;11.640;34,2;38,8
12 02 2023 08:18:00;4.590.000;2.940.000;3.900.000;11.430;222;6.990.000;4.660.000;11.650;34,2;39,1
12 02 2023 08:19:00;4.520.000;2.790.000;3.880.000;11.190;217;7.050.000;4.610.000;11.660;34,9;39,3
12 02 2023 08:20:00;4.650.000;2.930.000;3.860.000;11.440;269;7.100.000;4.560.000;11.660;35,3;39,4
12 02 2023 08:21:00;4.560.000;2.900.000;3.730.000;11.190;270;7.090.000;4.540.000;11.630;35,0;39,6
12 02 2023 08:22:00;4.580.000;3.030.000;3.880.000;11.490;261;7.050.000;4.700.000;11.750;35,1;39,8
12 02 2023 08:23:00;4.580.000;2.970.000;3.820.000;11.370;264;7.070.000;4.610.000;11.680;35,4;40,0
12 02 2023 08:24:00;4.540.000;2.970.000;3.860.000;11.370;302;6.920.000;4.630.000;11.550;35,6;40,3
12 02 2023 08:25:00;4.590.000;2.970.000;3.960.000;11.520;272;7.060.000;4.530.000;11.590;35,6;40,5
12 02 2023 08:26:00;4.590.000;2.970.000;3.880.000;11.440;265;7.060.000;4.630.000;11.690;36,2;40,7
12 02 2023 08:27:00;4.550.000;2.890.000;3.830.000;11.270;263;7.050.000;4.620.000;11.670;36,7;40,8
12 02 2023 08:28:00;4.600.000;2.950.000;3.800.000;11.350;234;7.050.000;4.630.000;11.680;36,5;40,7
12 02 2023 08:29:00;4.570.000;2.840.000;3.780.000;11.190;214;7.010.000;4.630.000;11.640;36,5;40,5
12 02 2023 08:30:00;4.570.000;2.840.000;3.740.000;11.150;221;6.950.000;4.700.000;11.650;35,9;40,3
12 02 2023 08:31:00;4.590.000;2.980.000;3.920.000;11.490;246;7.030.000;4.740.000;11.770;35,9;40,2
12 02 2023 08:32:00;4.550.000;2.860.000;3.790.000;11.200;304;6.970.000;4.650.000;11.620;35,8;40,1
12 02 2023 08:33:00;4.550.000;2.950.000;3.840.000;11.340;273;7.000.000;4.690.000;11.690;35,6;40,1
12 02 2023 08:34:00;4.550.000;2.940.000;3.910.000;11.400;331;7.140.000;4.570.000;11.710;35,5;40,3
12 02 2023 08:35:00;4.630.000;3.000.000;3.880.000;11.510;268;7.120.000;4.610.000;11.730;36,0;40,5
12 02 2023 08:36:00;4.540.000;3.020.000;3.920.000;11.480;260;7.050.000;4.700.000;11.750;35,9;40,7
12 02 2023 08:37:00;4.500.000;3.020.000;3.850.000;11.370;329;7.030.000;4.700.000;11.730;36,7;41,0
12 02 2023 08:38:00;4.640.000;2.990.000;3.910.000;11.540;272;7.110.000;4.730.000;11.840;36,7;41,2
12 02 2023 08:39:00;4.540.000;2.890.000;3.860.000;11.290;216;7.000.000;4.670.000;11.670;36,8;41,3
12 02 2023 08:40:00;4.610.000;3.000.000;3.920.000;11.530;247;7.030.000;4.560.000;11.590;36,6;41,4
12 02 2023 08:41:00;4.680.000;2.960.000;3.870.000;11.510;293;6.990.000;4.690.000;11.680;37,1;41,6
12 02 2023 08:42:00;4.580.000;2.930.000;3.890.000;11.400;230;7.130.000;4.620.000;11.750;38,0;41,7
